 If you could live anywhere in the world; where would you live?,convo
 Are you an adventurous person?,convo
 Do you have a nickname?,convo
 What is your middle name?,convo
 What is your favorite concert that you have been to?,convo
 What is your favorite restaurant in the area?,convo
 Do you play any sports?,convo
 Do you like the outdoors?,convo
 What is your favorite sports team?,convo
 Have you read anything interesting lately?,convo
 What is your favorite pizza topping?,convo
 What is your favorite ice cream flavor?,convo
 Who was your childhood celebrity crush?,convo
 Do you like to do karaoke? If so what is your favorite karaoke song?,convo
 Where are you from?,convo
 What is something that you love about your job?,convo
 Do you wear your heart on your sleeve?,convo
 What is your favorite kind of food to eat?,convo
 What is something that you will not eat?,convo
 Who is someone who inspires you?,convo
 What is the weirdest scar you have? How did you get it?,convo
 Would you rather go skydiving or be in a cage with sharks surrounding you on the outside?,convo
 How did you meet your best friend?,convo
 What is a great Wikipedia article that you recently read?,convo
 What is your favorite physical quality about yourself?,convo
 What are two or three music albums that have shaped you as a person?,convo
 Who is a TV character that you relate to?,convo
 Which 3 fictional characters describe you?,convo
 What is the most fun thing that you have done around here?,convo
 Do you have any hobbies?,convo
 Do you have a celebrity crush?,convo
 Did you go to school? If so where did you go?,convo
 What was your major if you went to college?,convo
 What is something that people assume about you?,convo
 What is something that you are really passionate about?,convo
 Are you religious?,convo
 Phone calls or texting?,convo
 Cookies or donuts?,convo
 Ice cream or cake?,convo
 Facebook or Instagram?,convo
 Car or truck?,convo
 Coffee or tea?,convo
 Iced coffee or hot coffee??,convo
 Winter or summer?,convo
 TV or books?,convo
 Books or eBooks?,convo
 TV shows or movies?,convo
 What kind of pets have you had?,convo
 Do you prefer the outdoors or the indoors?,convo
 What is your favorite non-alcoholic drink?,convo
 What is your favorite international food?,convo
 Are you a picky eater or an adventurous eater?,convo
 Who is your favorite author?,convo
 Have you ever binge-watched a show?,convo
 What is the last show that you binge-watched?,convo
 What is a hobby that you would take up if you had the time and money to do it?,convo
 What do your friends know you for?,convo
 What were you known for in school?,convo
 What is your favorite phone app?,convo
 Do you have a favorite piece of furniture that you currently own or that you used to own?,convo
 Do you have a favorite artist or a favorite piece of artwork?,convo
 What is your least favorite household chore?,convo
 Do you like to work in teams or do you prefer to work alone?,convo
 How have you changed since high school?,convo
 Are you in any meetup groups?,convo
 What are you most excited about in life right now?,convo
 Can you tell me two truths and a lie?,convo
 What is the cheesiest pick up line that you have?,convo
 What did you like most about where you grew up?,convo
 What did you like the least about where you grew up?,convo
 What is something that you are bad at?,convo
 What is something that makes you nervous?,convo
 If your place was on fire what is one thing that you would save besides people and your important documents?,convo
 Have you ever taken a DNA ancestry test?,convo
 Does your family live near you?,convo
 Would you ever go back to school?,convo
 What would you do on a day off?,convo
 Do you have a bucket list? If so what is on it?,convo
 What would your dream house be like?,convo
 What is an expensive thing that is worth it to you?,convo
 When do you feel most out of place?,convo
 What did you do last summer?,convo
 When was the last time you sang with someone else in the room?,convo
 Do you sing in the shower?,convo
 When is the last time that you walked for more than an hour?,convo
 What are your most favorite and least favorite ice cream flavors?,convo
 What is the best meal that you have ever had?,convo
 How many countries have you been to?,convo
 What is a habit that you would like to get into but have not done yet?,convo
 Can you leave your home without your phone?,convo
 What kind of drink do you tend to order when you are on a night out?,convo
 What did you like about my profile?,convo
 What do you usually do on a Sunday morning?,convo
 Do you sleep in on the weekends?,convo
 Do you like to celebrate the holidays?,convo
 Do you dress up for Halloween?,convo
